id,alpha_int,alpha_dif,mu_c_int,characteristic_time,peak_amplitude,tau,X^2,bic
1.0,0.15494583517756708,0.15722292758359693,0.26570645389942255,1.3045151563704052,-0.018485758934184117,0.3562125704237687,17.808020327541318,1802.6882705295948
2.0,0.22322446742629085,0.027035688138341164,0.25353205009601154,0.6855250974933103,0.11466880091498517,0.4092410522019429,9.429670857411597,1794.3099210594653
3.0,0.28528101092942965,0.10462141838503514,0.34471235972884195,0.5638984245370959,-0.1544585038769274,0.3684715680327637,7.926263042997666,1792.8065132450515
4.0,0.22288235041676827,0.029197830435741496,0.22180590944236883,0.9523559115416105,0.06397943321052535,0.26580425895979,94.81076853028202,1879.6910187323358
5.0,0.19125101167292138,0.005889776961907867,0.33656269142100537,4.676171498439086,0.13217715907192326,0.447576541529632,242.6238544473539,2027.5041046494075
6.0,0.22457808384754877,0.08060134127058567,0.2162612525064544,0.6450245603325335,0.13179835555733418,0.3517881451676829,19.975042695289428,1804.855292897343
7.0,0.1923785456134221,-0.006313265318025208,0.29638990424098444,4.8536990262356605,0.0782376410006946,0.40895909212044346,6.367359078601223,1791.2476092806548
8.0,0.3589003314842335,-0.10922023672531037,0.28642660820584487,0.677278492427329,0.18561841822349917,0.30745689674868326,22.58797776548318,1807.4682279675367
9.0,0.18343847515476608,0.0804516175404682,0.29561135558315693,1.4650183299170847,0.08957825846619692,0.3950093074131191,15.390573305839403,1800.2708235078928
10.0,0.3205801359040752,0.1844844775642499,0.2585720409984687,0.44362380261127976,-0.11851500099805037,0.3710611342588017,33.89533304772421,1818.7755832497778
11.0,0.3695855909284952,-0.005911042197437344,0.43102161749227424,4.920807135113199,0.1045858008384018,0.30549674076646854,0.19717556331292674,1785.0774257653666
12.0,0.24511487117977757,0.059393286648018066,0.3047110193833741,3.551329225631335,0.1296150177941959,0.4051751915114765,2.6084644252263405,1787.48871462728
13.0,0.24463996877088487,0.0373013422588187,0.25351247542074473,0.8982976613294795,0.13805966199829908,0.3836685216860159,14.690993291711383,1799.5712434937655
14.0,0.1765547286186996,0.0022067632641395107,0.29632303584758707,4.957196341125178,0.15597083465034906,0.3866190611919665,16.99446332306274,1801.8747135251165
15.0,0.3722914302155227,-0.05554346202134391,0.20002484165702877,0.36548168373412304,-0.04816980540059728,0.23554301836779368,7.345342553165199,1792.225592755219
16.0,0.1299094500786721,0.1989680750540228,0.3033806638211404,4.431035932456479,-0.02709745753602575,0.4027214085583483,55.540187324756275,1840.4204375268098
17.0,0.2823915509871698,0.029908044008235636,0.20221365432345667,0.7431257911765219,-0.013072054337712524,0.2931357360501224,26.798281101655686,1811.6785313037094
18.0,0.2621190794293412,0.003407719322431646,0.22071236964336793,3.5575693962451926,0.010346069955822268,0.15293666369963166,25.01964660647816,1809.8998968085318
19.0,0.16047848918867297,0.0683174847421385,0.23562703882788374,0.5875073748293598,-0.04565926659186399,0.3898785222049853,63.122506027801556,1848.0027562298546
20.0,0.2344388410762948,0.10633427466256631,0.24719257355827218,0.6067407622993011,0.0968966569538618,0.33319643364599044,4.987799413704697,1789.8680496157583
21.0,0.19141790820358034,-0.0016669507184166488,0.32854058553520793,4.628231372583087,0.014573747264804204,0.16119513221333023,26.46497824796294,1811.3452284500165
22.0,0.1885944682919633,0.16772327443331925,0.2084646144671603,4.8126260342762865,0.12290556988455847,0.39462762683942215,24.87038134951398,1809.750631551568
23.0,0.26518994790952694,0.11032785704217363,0.22081568808782173,1.959846380944071,-0.022946141983855042,0.2915391623706795,19.23259974049148,1804.1128499425454
